date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
03-03-2021 10:00,1,65.76,30.815,24.01403333,906.104,67.31286667,446.2733333,27.79,58.76166667
03-03-2021 11:00,1,72.95666667,34.25833333,27.54743333,1025.479,72.2688,450.2033333,27.77,56.56833333
03-03-2021 12:00,1,77.35666667,35.765,28.6598,2383.68,72.70793333,490.8133333,27.68833333,56.18833333
03-03-2021 13:00,1,75.07833333,35.29833333,28.20176667,1893.383,75.53093333,483.8266667,27.40333333,55.13
03-03-2021 14:00,1,71.48166667,34.15333333,29.47771667,1566.964,73.8685,472.4733333,27.505,53.53833333
03-03-2021 15:00,1,70.87833333,33.68666667,32.74938333,1466.689,74.339,454.57,27.39833333,52.91833333
03-03-2021 16:00,1,70.015,33.02666667,35.85746667,1329.742,80.4555,445.4,27.49,52.54833333
03-03-2021 17:00,1,84.99,38.63166667,68.83586667,1210.176,113.8296333,439.2866667,28.12333333,56.4
03-03-2021 18:00,1,112.4116667,50.73166667,65.62963333,1027.007,111.7594333,446.2733333,28.93333333,58.40833333
03-03-2021 19:00,1,110.5533333,50.17,72.17296667,906.486,117.5309,429.68,29.1,61.13833333
03-03-2021 20:00,1,92.34166667,42.11833333,72.69643333,840.591,116.2762333,415.27,29.1,62.98833333
03-03-2021 21:00,1,82.40681818,37.46363636,70.80184091,785.5309091,115.1869545,396.5727273,29.09318182,64.70454545
03-03-2021 22:00,1,84.175,38.29666667,68.5087,751.394,114.3315,393,29.09333333,65.73333333
03-03-2021 23:00,1,85.29333333,38.72833333,67.26546667,694.094,111.979,376.4066667,29.04,66.74
04-03-2021 00:00,1,94.58833333,43.04166667,66.5457,645.389,111.6026,363.3066667,29.01333333,67.47333333
04-03-2021 01:00,1,84.49,38.43666667,61.67091667,604.133,108.4345667,344.9666667,28.99333333,67.425
04-03-2021 02:00,1,60.86,27.55833333,58.72641667,612.728,104.2941667,341.4733333,28.95333333,67.06
04-03-2021 03:00,1,47.70833333,21.53333333,61.27831667,619.222,107.8699667,341.4733333,28.9,67.115
04-03-2021 04:00,1,52.77333333,23.87166667,61.40918333,621.896,112.6377,340.6,28.9,67.21333333
04-03-2021 05:00,1,52.135,23.51666667,62.78328333,704.79,112.7631667,341.91,28.865,67.285
04-03-2021 06:00,1,69.81333333,27.3,63.14316667,849.377,112.8572667,372.4766667,28.8,67.11
04-03-2021 07:00,1,91.175,32.39833333,73.93966667,1265.948,119.9775,416.58,28.72666667,67.81833333
04-03-2021 08:00,1,104.94,33.90166667,106.002,1063.297,128.0701,344.0933333,28.68166667,67.57166667
04-03-2021 09:00,1,110.2866667,32.69833333,109.4699667,923.294,107.5876667,303.92,29.62833333,62.57666667
04-03-2021 10:00,1,50.00833333,21.33333333,48.22436667,1406.524,65.7759,330.12,28.53833333,58.37666667
04-03-2021 11:00,1,36.5893617,16.67446809,48.40674468,1090.162979,81.76689362,352.306383,28.04255319,57.70638298
04-03-2021 12:00,1,44.335,20.07666667,46.35951667,1151.921,76.72286667,359.3766667,27.98833333,56.805
04-03-2021 13:00,1,59.31333333,27.07833333,46.94841667,978.493,80.8319,346.7133333,27.96,55.82166667
04-03-2021 14:00,1,62.445,28.515,53.88435,1122.125,84.5018,351.9533333,28.07833333,55.70666667
04-03-2021 15:00,1,57.24833333,26.14333333,57.35231667,1081.442,91.81023333,340.6,28.04166667,56.695
04-03-2021 16:00,1,55.84833333,25.39833333,49.43488333,826.839,87.01113333,334.4866667,28.01,55.47166667
04-03-2021 17:00,1,49.01333333,21.85333333,56.63255,716.059,93.31583333,318.7666667,27.77,55.24833333
04-03-2021 18:00,1,42.03833333,17.98666667,66.41483333,756.169,105.7997667,353.2633333,28.785,57.39666667
04-03-2021 19:00,1,40.48833333,17.61833333,61.01658333,792.268,98.45996667,366.8,29.06166667,58.69833333
04-03-2021 20:00,1,33.28833333,14.93666667,53.45903333,716.441,90.30463333,353.7,29.1,58.00333333
04-03-2021 21:00,1,29.62166667,13.32,53.26273333,636.985,94.63323333,343.22,29.1,58.11166667
04-03-2021 22:00,1,31.95833333,14.29333333,57.84306667,646.917,101.1261333,340.6,29.06166667,59.22666667
04-03-2021 23:00,1,34.63833333,15.445,61.93265,635.839,103.8550333,340.6,29.00166667,60.86166667
05-03-2021 00:00,1,34.47,15.34166667,62.2271,638.513,104.3882667,340.6,28.995,62.33333333
05-03-2021 01:00,1,35.135,15.70166667,62.6197,626.098,105.0783333,329.6833333,28.90333333,63.48833333
05-03-2021 02:00,1,36.44666667,16.28666667,63.33946667,628.581,104.9528667,319.2033333,28.9,64.39666667
05-03-2021 03:00,1,35.92833333,16.05166667,63.11045,604.133,108.5286667,317.8933333,28.83666667,65.24166667
05-03-2021 04:00,1,34.03833333,15.275,63.37218333,615.402,109.2187333,318.7666667,28.78666667,66.255
05-03-2021 05:00,1,34.56833333,15.46,64.54998333,653.602,113.2336667,316.1466667,28.73166667,66.72
05-03-2021 06:00,1,36.875,16.61833333,65.23703333,756.36,111.2262,325.3166667,28.63833333,66.79
05-03-2021 07:00,1,53.75833333,22.53,69.91551667,846.13,106.0507,328.81,28.3,66.78666667
05-03-2021 08:00,1,65.52727273,23.71272727,77.7348,678.0152727,93.55250909,268.6690909,28.05090909,62.54
05-03-2021 09:00,1,51.87272727,18.4969697,60.07969697,521.2563636,51.72648485,221.5090909,29.36969697,51.67575758
05-03-2021 10:00,1,45.66,20.72166667,46.81755,492.398,54.26433333,230.56,28.145,51.85
05-03-2021 11:00,1,62.36333333,28.44666667,68.01795,1236.152,99.77736667,266.3666667,26.94166667,57.79833333
05-03-2021 12:00,1,69.65166667,32,63.9938,1215.142,94.97826667,312.2166667,26.79833333,59.09833333
05-03-2021 13:00,1,64.88166667,29.945,56.99243333,923.294,86.07013333,303.0466667,27.095,57.58666667
05-03-2021 14:00,1,34.555,16.40333333,60.39496667,890.442,88.8304,292.5666667,27.16833333,57.28333333
05-03-2021 15:00,1,40.08166667,18.12833333,61.0493,1008.289,91.43383333,295.6233333,27.16833333,57.88833333
05-03-2021 16:00,1,57.42833333,26.07833333,53.85163333,836.962,87.19933333,292.5666667,27.38666667,56.07666667
05-03-2021 17:00,1,56.23833333,25.43,63.56848333,802.582,99.58916667,303.0466667,27.63,57.49166667
05-03-2021 18:00,1,42.95166667,19.20666667,62.78328333,774.123,95.26056667,329.2466667,28.67666667,57.52333333
05-03-2021 19:00,1,37.84833333,17.04333333,63.17588333,754.45,98.67953333,341.4733333,28.8,59.41166667
05-03-2021 20:00,1,32.66666667,14.71666667,63.96108333,735.923,101.8789333,340.1633333,28.80833333,60.47833333
05-03-2021 21:00,1,30.43166667,13.68666667,60.49311667,714.34,102.2239667,339.29,28.855,60.93333333
05-03-2021 22:00,1,30.27833333,13.43,60.23138333,723.89,104.5137333,330.5566667,28.865,61.32166667
05-03-2021 23:00,1,37.50833333,15.72166667,64.32096667,781.381,108.3091,324.88,28.82833333,61.76666667
06-03-2021 00:00,1,50.09666667,21.86,58.62826667,765.91,103.7923,331.8666667,28.8,61.58666667
06-03-2021 01:00,1,42.625,19.15,57.97393333,720.834,101.2516,315.71,28.8,61.49833333
06-03-2021 02:00,1,35.34166667,15.765,54.47325,665.062,97.64443333,314.4,28.72666667,61.26333333
06-03-2021 03:00,1,29.09166667,12.89833333,56.1418,634.884,103.9491333,314.4,28.695,61.39666667
06-03-2021 04:00,1,42.31833333,19.02833333,59.21716667,750.63,107.7445,324.0066667,28.63666667,62.31
06-03-2021 05:00,1,81.76166667,35.97833333,57.5159,1081.06,105.6743,379.4633333,28.545,62.61333333
06-03-2021 06:00,1,74.25833333,32.02,52.44481667,1659.408,99.05593333,479.8966667,28.49,62.99833333
06-03-2021 07:00,1,84.17833333,35.30666667,64.22281667,2377.759,109.5637667,588.6266667,28.59,63.54166667
06-03-2021 08:00,1,63.01333333,27.935,71.87851667,1667.812,118.0955,465.05,28.725,62.42833333
06-03-2021 09:00,1,55.51666667,24.235,78.61815,1216.67,119.2560667,396.4933333,28.97333333,61.55666667
06-03-2021 10:00,1,44.46153846,20.15384615,60.89075,946.9926923,93.91903846,383.4269231,29.17692308,60.43653846
06-03-2021 11:00,1,40.73,18.44666667,55.61833333,804.874,84.15676667,370.73,29.31166667,59.73166667
06-03-2021 12:00,1,38.295,17.285,57.41775,762.854,81.2083,367.6733333,29.41333333,58.93333333
06-03-2021 13:00,1,40.57166667,18.32166667,62.88143333,760.562,81.9611,372.9133333,29.52166667,58.14
06-03-2021 14:00,1,44.88166667,20.365,65.66235,792.077,82.18066667,389.5066667,29.655,57.66
06-03-2021 15:00,1,46.25833333,20.925,68.73771667,796.279,85.8192,392.5633333,29.81166667,57.53333333
06-03-2021 16:00,1,46.27833333,20.95333333,71.28961667,832.76,92.1239,395.1833333,29.84666667,59.11666667
06-03-2021 17:00,1,36.26166667,16.36833333,60.95115,801.436,89.33226667,393,29.9,58.725
06-03-2021 18:00,1,35.27833333,15.89333333,57.25416667,837.726,96.29566667,394.31,29.83166667,59.28666667
06-03-2021 19:00,1,40.15166667,17.93,62.88143333,925.204,105.2351667,393,29.75833333,59.955
06-03-2021 20:00,1,46.040625,20.828125,65.515125,893.88,107.9209375,393,29.696875,60.859375
07-03-2021 08:00,1,33.8,15.325,62.816,716.25,99.2755,340.6,29.3,66.95
07-03-2021 09:00,1,35.89152542,16.16271186,59.12289831,769.3738983,95.40783051,342.820339,29.40847458,66.42542373
07-03-2021 10:00,1,39.74333333,17.62833333,54.89856667,816.907,89.7714,366.8,29.64833333,65.48
07-03-2021 11:00,1,44.74833333,19.78333333,57.5159,823.592,86.50926667,381.21,29.83166667,64.53666667
07-03-2021 12:00,1,46.52166667,21.01833333,58.4974,807.357,83.49806667,392.1266667,29.975,63.37
07-03-2021 13:00,1,46.86166667,21.19333333,55.78191667,797.807,77.56976667,392.1266667,30.04166667,61.65
07-03-2021 14:00,1,42.28135593,19.12542373,63.81413559,790.9342373,84.65810169,391.6677966,30.13728814,61.58305085
07-03-2021 15:00,1,33.47333333,15.095,69.42476667,793.414,92.62576667,393,30.22333333,63.02333333
07-03-2021 16:00,1,30.435,13.69833333,64.48455,829.322,92.65713333,393.8733333,30.24166667,63.49
07-03-2021 17:00,1,32.28166667,14.58666667,58.03936667,863.511,87.8894,393,30.21333333,62.95666667
07-03-2021 18:00,1,33.20166667,14.93166667,44.98541667,785.583,78.91853333,368.9833333,30.08,60.215
07-03-2021 19:00,1,34.79333333,15.65333333,48.6824,786.538,83.2785,366.8,29.93166667,59.50833333
07-03-2021 20:00,1,36.385,16.435,55.09486667,795.897,86.63473333,363.7433333,29.77166667,59.97666667
07-03-2021 21:00,1,38.795,17.49166667,58.07208333,801.054,91.12016667,363.3066667,29.7,60.75
07-03-2021 22:00,1,41.54166667,18.75,61.21288333,865.803,97.64443333,366.8,29.69666667,61.3
07-03-2021 23:00,1,42.51333333,19.25333333,63.04501667,902.475,104.0118667,365.9266667,29.6,61.62166667
